city,latitude,longitude,state
NewYorkcity,40.7127837,-74.0059413,NY
Greenville,35.6127,-77.3664,NC
Waco,31.5493,-97.1467,TX
Richmond,37.9358,-122.3477,CA
LosAngelescity,34.0522342,-118.2436849,CA
Knoxville,35.9606,-83.9207,TN
Chicago,41.8781136,-87.6297982,IL
Tukwila,47.474,-122.261,WA
Dania,26.0523,-80.1439,FL
Houstoncity,29.7604267,-95.3698028,TX
Philadelphiacity,39.9525839,-75.1652215,PA
Phoenix,33.4483771,-112.0740373,AZ
San Antonio,29.4241219,-98.49362819999999,TX
San Diego,32.715738,-117.1610838,CA
Dallas,32.7766642,-96.79698789999999,TX
San Jose,37.3382082,-121.8863286,CA
Austin,30.267153,-97.7430608,TX
Indianapolis,39.768403,-86.158068,IN
Jacksonville,30.3321838,-81.65565099999999,FL
SanFranciscocity,37.7749295,-122.4194155,CA
SantaFeSprings,33.9472,-118.0853,CA
LosBanos,37.0583,-120.8499,CA
Columbus,39.9611755,-82.99879419999999,OH
Charlotte,35.2270869,-80.8431267,NC
Fort Worth,32.7554883,-97.3307658,TX
Detroit,42.331427,-83.0457538,MI
El Paso,31.7775757,-106.4424559,TX
Memphis,35.1495343,-90.0489801,TN
Seattle,47.6062095,-122.3320708,WA
Denver,39.7392358,-104.990251,CO
Washingtoncity,38.9071923,-77.0368707,DC
Anniston,33.6598,-85.8316,AL
Boston,42.3600825,-71.0588801,MA
Nashville-Davidson,36.1626638,-86.7816016,TN
Baltimorecity,39.2903848,-76.6121893,MD
Oklahoma City,35.4675602,-97.5164276,OK
Portland,45.5230622,-122.6764816,OR
Las Vegas,36.1699412,-115.1398296,NV
Milwaukee,43.0389025,-87.9064736,WI
Albuquerque,35.0853336,-106.6055534,NM
Tucson,32.2217429,-110.926479,AZ
SouthElMonte,34.052,-118.0467,CA
GlensFalls,43.3095,-73.644,NY
Cudahycity,33.9606,-118.1853,CA
Fresno,36.7468422,-119.7725868,CA
LongBeach,33.7700504,-118.1937395,CA
KansasCity,39.0997265,-94.5785667,MO
Omaha,41.2523634,-95.99798829999999,NE
Raleigh,35.7795897,-78.6381787,NC
Miamicity,25.7616798,-80.1917902,FL
Oakland,37.8043637,-122.2711137,CA
Minneapolis,44.977753,-93.2650108,MN
Pleasantville,39.3898,-74.524,NJ
Tulsa,36.1539816,-95.99277500000001,OK
ClevelandHeightscity,41.49932,-81.6943605,OH
Wichita,37.688889,-97.336111,KS
Arlington,32.735687,-97.10806559999999,TX
NewOrleans,29.95106579999999,-90.0715323,LA
Prichard,30.7452,-88.0897,AL
Gadsden,34.0143,-86.0066,AL
Bakersfield,35.3732921,-119.0187125,CA
Tampa,27.950575,-82.4571776,FL
Anaheim,33.8352932,-117.9145036,CA
St. Louis,38.6270025,-90.19940419999999,MO
Lexington-Fayette,38.0405837,-84.5037164,KY
Pittsburgh,40.44062479999999,-79.9958864,PA
Anchoragecity,61.2180556,-149.9002778,AK
Cincinnati,39.1031182,-84.5120196,OH
Paducah,37.0834,-88.6,KY
Blytheville,35.9273,-89.919,AR
St. Paul,44.9537029,-93.0899578,MN
Toledo,41.6639383,-83.55521200000001,OH
Tallahassee,30.4383,-84.2807,FL
EastLongmeadow,42.0645,-72.5126,MA
Newark,40.735657,-74.1723667,NJ
Plano,33.0198431,-96.6988856,TX
Lincoln,40.8257625,-96.6851982,NE
Buffalo,42.88644679999999,-78.8783689,NY
JerseyCity,40.72815749999999,-74.0776417,NJ
Orlando,28.5383355,-81.3792365,FL
DaytonaBeach,29.2108,-81.0228,FL
Bridgeporttown,41.1865,-73.1952,CT
Youngstown,41.0998,-80.6495,OH
Monroe,32.5093,-92.1193,LA
Richmond,37.5407,-77.436,VA
St.Petersburg,27.773056,-82.64,FL
Chandler,33.3061605,-111.8412502,AZ
Laredo,27.5305671,-99.48032409999999,TX
Glendale,33.5386523,-112.1859866,AZ
Bessemer,33.4018,-86.9544,AL
PlantCity,28.0186,-82.1129,FL
CityofOrangetownship,40.7706,-74.2326,NJ
Palatka,29.648600000000002,-81.6376,FL
Artesia,33.8658,-118.0831,CA
Irvingtontownship,40.7263,-74.2286,NJ
CollegePark,33.6534,-84.4494,GA
Greenwood,34.1954,-82.1618,SC
Brunswick,31.15,-81.4915,GA
Spartanburg,34.9496,-81.932,SC
Rome,34.257,-85.1647,GA
PortArthur,29.885,-93.9399,TX
BatonRouge,30.4582829,-91.1403196,LA
SanBernardino,34.1083449,-117.2897652,CA
WestHollywoodcity,34.09,-118.3617,CA
Birmingham,33.5206608,-86.80248999999999,AL
NewHaventown,41.3083,-72.9279,CT
Aurora,39.7294,-104.8319,CO
SiouxCity,42.5,-96.4003,IA
Grenada,33.769,-89.8084,MS
AsburyPark,40.2204,-74.0121,NJ
Gretna,29.9146,-90.054,LA
Florence,34.1954,-79.7626,SC
Steubenville,40.3698,-80.634,OH
Riverside,33.9533,-117.3962,CA
NewBern,35.1085,-77.0441,NC
Opelika,32.6454,-85.3783,AL
Wilkinsburgborough,40.4417,-79.882,PA
Stockton,37.9577,-121.2908,CA
Newberrytown,34.2746,-81.6187,SC
EastPoint,33.6796,-84.4394,GA
SouthMiami,25.7051,-80.2908,FL
BalchSprings,32.7287,-96.6228,TX
Fairfield,33.4859,-86.9119,AL
Des Moines,41.6005448,-93.6091064,Iowa
Fayetteville,35.0526641,-78.87835849999999,NC
Tacoma,47.2528768,-122.4442906,WA
LittleRock,34.7464809,-92.28959479999999,AR
Gallup,35.5281,-108.7426,NM
Chattanooga,35.0456297,-85.3096801,TN
Bridgeport,41.1865478,-73.19517669999999,CT
LakeWorth,26.6168,-80.0684,FL
Paterson,40.9167654,-74.17181099999999,NJ
Douglas,31.5088,-82.8499,GA
Dayton,39.7589478,-84.1916069,OH
Columbia,34.0007104,-81.0348144,SC
WestColumbia,33.9935,-81.074,SC
Gainesville,29.6516344,-82.32482619999999,FL
Hartfordtown,41.76371109999999,-72.6850932,CT
Berkeley,37.8715926,-122.272747,CA
Inglewood,33.9616801,-118.3531311,CA
Chester,39.8496,-75.3557,PA
Pueblo,38.2544472,-104.6091409,CO
Selma,32.4074,-87.0211,AL
Clearlake,38.9582,-122.6264,CA
Paris,33.6609,-95.5555,TX
Newburgh,41.5034,-74.0104,NY
PompanoBeach,26.2378597,-80.1247667,FL
NorthCharleston,32.8546197,-79.9748103,SC
Davenport,41.5236437,-90.5776367,IA
SanPablo,37.9621,122.3455,CA
Compton,33.8958492,-118.2200712,CA
SantaMonica,34.0194543,-118.4911912,CA
Lynn,42.46676300000001,-70.9494938,MA
Orangeburg,33.4918,-80.8556,SC
MiamiBeach,25.790654,-80.1300455,FL
Greenvillecity,34.8526,-82.394,SC
Leesburg,28.8108,-81.8779,FL
LaPuente,34.02,-117.9495,CA
RockHill,34.9249,-81.0251,SC
Hawthorne,33.9164032,-118.3525748,CA
Trenton,40.2170534,-74.7429384,NJ
Gary,41.5933696,-87.3464271,IN
FortPierce,27.4467,-80.3256,FL
Lawrence,42.7070354,-71.1631137,MA
Saralandcity,30.8207,-88.0706,AL
Bellflower,33.8816818,-118.1170117,CA
Camdencity,39.9259463,-75.1196199,NJ
Lynwood,33.930293,-118.2114603,CA
Atlantacity,33.749,-84.388,GA
FortMyers,26.640628,-81.8723084,FL
Jackson,35.6145169,-88.81394689999999,TN
Lawndale,33.8872,118.3526,CA
EastOrange,40.767323,-74.2048677,NJ
EastChicago,41.6392,-87.4548,IN
Homestead,25.4687224,-80.4775569,FL
LaCanadaFlintridgecity,34.2068,-118.2,CA
DeLand,29.0283,-81.3031,FL
NewBraunfels,29.7030024,-98.1244531,TX
Commerce,34.0006,-118.1598,CA
Salisbury,38.3607,-75.5994,MD
LakeCity,30.1897,-82.6393,FL
NorthMiami,25.8900949,-80.1867138,FL
Gardena,33.8883487,-118.3089624,CA
Ocala,29.1871986,-82.14009229999999,FL
Anderson,34.5034,82.6501,SC
EastPaloAlto,37.4688,-122.1411,CA
Bellingham,48.7519,-122.4787,WA
DelrayBeach,26.4615,-80.0728,FL
Jackson,32.2988,-90.1848,MS
Plainfield,40.6337,-74.4074,NJ
Pomona,34.0551,-117.75,CA
HarperWoods,42.4331,-82.9241,MI
RichmondHeights,38.6287,-90.3196,MO
McAllen,26.2034,-98.23,TX
Greenwoodcity,33.5162,-90.1795,MS
CasaGrande,32.911,-111.7734,AZ
CoralGables,25.7215,-80.2684,FL
WinterHaven,28.0222,-81.7329,FL
Paramusborough,40.9445,-74.0754,NJ
Orange,30.093,-93.7366,TX
NorthLittleRock,34.7695,-92.2671,AR
Kilgore,32.3863,-94.8758,TX
Sanford,35.4799,-79.1803,NC
Covington,33.5968,-83.8602,GA
Texarkana,33.4418,-94.0377,AR
MuskegonHeights,43.2011,-86.2389,MI
KeyWest,24.5551,-81.78,FL
Springdale,39.287,-84.4852,OH
HotSprings,34.5037,-93.0552,AR
Sunnyside,46.3237,-120.0087,WA
Wilson,35.7213,-77.9155,NC
Lakeland,28.0395,-81.9498,FL
MyrtleBeach,33.6891,-78.8867,SC
Paramount,33.8894598,-118.1597911,CA
Henderson,36.3296,-78.3992,NC
Sarasota,27.3364347,-82.53065269999999,FL
Bridgeton,39.4273,-75.2341,NJ
Harrisburg,40.2731911,-76.8867008,PA
Galveston,29.3013479,-94.7976958,TX
Alexandria,31.3112936,-92.4451371,LA
AtlanticCity,39.3643,-74.4229,NJ
Mentor,41.6661573,-81.339552,OH
Mansfield,40.75839,-82.5154471,OH
Barnstabletown,41.7003208,-70.3002024,MA
OaklandPark,26.1723065,-80.1319893,FL
Everett,42.40843,-71.0536625,MA
Covington,39.0836712,-84.5085536,KY
Fitchburg,42.5834228,-71.8022955,MA
Hallandale,25.9812024,-80.14837899999999,FL
Lima,40.742551,-84.1052256,OH
FortLauderdale,26.1224,-80.1373,FL
SouthSaltLake,40.7188,-111.8883,UT
EastLongmeadow,42.0645,-72.5126,MA
Charleston,38.3498,-81.6326,WV
Yakima,46.6021,-120.5059,WA
CommerceCity,39.8083,-104.9339,CO
Hamtramck,42.3928,-83.0496,MI
Eureka,40.8021,-124.1637,CA
BentonHarbor,42.1167,-86.4542,MI
Montclair,34.0775104,-117.6897776,CA
Greenfieldtown,42.5879,-72.5994,MA
Harvardtown,42.50242233276367,-71.58444213867188,MA
Troycity,31.8087678,-85.969951,AL
Hartsellecity,34.44499588012695,-86.93426513671875,AL
Moundsvillecity,39.91957473754883,-80.74381256103516,WV
SaratogaSpringscity,43.08224868774414,-73.78422546386719,NY
Norwalkcity,41.24338150024414,-82.61640930175781,OH
Vernoncity,34.1513105,-99.2860857,TX
Warrentown,41.7303794,-71.2825494,RI
Spencercity,43.1413578,-95.1444393,IA
Marshallcity,39.1230777,-93.1968704,MO
Milfordtown,42.1540735,-71.521871,MA
Ogdensburgcity,44.684329986572266,-75.50115966796875,NY
Arkadelphiacity,34.11867141723633,-93.0550537109375,AR
Oswegocity,43.4112973,-76.1279841,NY
Greenwoodcity,43.4112973,-76.1279841,IN
BeverlyHillscity,34.09975051879883,-118.41590881347656,CA
Princetonborough,40.3475,-74.6663889,NJ
UnionCitycity,40.7795455,-74.0237512,NJ
Coronadocity,32.6915199,-117.1766947,CA
Raritantownship,40.50396728515625,-74.87300109863281,NJ
Greenwichtown,41.0264862,-73.6284598,CT
Hobokencity,40.7433066,-74.0323752,NJ
ParadiseValleytown,33.53050994873047,-111.93988800048828,AZ
Holmdeltownship,40.38426971435547,-74.1874008178711,NJ
Huntsvillecity,30.724027633666992,-95.55224609375,TX
SanMarinocity,34.1215947,-118.1057394,CA
PalosVerdesEstatescity,33.7999267578125,-118.39154815673828,CA
ElPasocity,31.7754152,-106.4646348,TX
Rexburgcity,43.8235163,-111.7870222,ID
SanJosecity,37.3361905,-121.8905833,CA
Maywoodcity,33.9866807,-118.185349,CA
MontereyParkcity,34.05900573730469,-118.12574005126953,CA
Naplescity,26.1421976,-81.7942944,FL
Somersettown,41.7695463,-71.128656,MA
Corcorancity,36.098007,-119.5604015,CA
Uvaldecity,29.300357,-99.7733181,TX
Ryecity,40.9808209,-73.684294,NY
BellGardenscity,33.96754455566406,-118.14996337890625,CA
FortLeeborough,40.85274887084961,-73.97252655029297,NJ
Juneaucity,58.3019496,-134.419734,AK
SanDiegocity,32.8939094543457,-117.14457702636719,CA
SanAntoniocity,29.4246002,-98.4951405,TX
TwentyninePalms-MorongoValle,34.134929,-116.227368,CA
Hopewelltownship,40.3500375,-74.7907372,NJ
Manchestertownship,39.942970275878906,-74.3922348022461,NJ
Gatesvillecity,31.4351645,-97.743911,TX
Carlsbadcity,33.1580933,-117.3505966,CA
Delanocity,35.7688425,-119.2470536,CA
Durhamtown,43.134564,-70.927048,NH
WestNewYorktown,40.7888,-74.011533,NJ
Millingtoncity,35.264372,-89.973742,TN
Hillsboroughtown,37.559501,-122.350477,CA
HuntingtonParkcity,33.653179,-117.99554,CA
SouthJordancity,40.55934143066406,-111.9507064819336,UT
Westontown,42.3667625,-71.3031132,MA
SantaAnacity,33.7494951,-117.8732213,CA
